,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount_log,TotalIncome,TotalIncome_log
25,LP001153,2.0,2.0,3.0,1,2.0,0,24000.0,148.0,360.0,0.0,1,1.0,4.997212273764115,24000.0,10.085809109330082
26,LP001163,2.0,1.0,3.0,1,2.0,4363,1250.0,140.0,360.0,1.0,2,1.0,4.941642422609304,5613.0,8.6328406149422
27,LP001169,2.0,1.0,3.0,1,2.0,7500,3750.0,275.0,360.0,1.0,2,1.0,5.616771097666572,11250.0,9.328123407632566
28,LP001174,2.0,1.0,3.0,1,2.0,3772,833.0,57.0,360.0,1.0,3,1.0,4.04305126783455,4605.0,8.434897948689407
29,LP001176,2.0,2.0,3.0,1,2.0,2942,2382.0,125.0,180.0,1.0,2,1.0,4.8283137373023015,5324.0,8.579980179515003
30,LP001177,1.0,2.0,3.0,2,2.0,2478,0.0,75.0,360.0,1.0,3,1.0,4.31748811353631,2478.0,7.815207062189088
31,LP001183,2.0,1.0,3.0,1,2.0,6250,820.0,192.0,360.0,1.0,2,1.0,5.2574953720277815,7070.0,8.863615758890619
32,LP001185,2.0,2.0,3.0,1,2.0,3268,1683.0,152.0,360.0,1.0,3,1.0,5.0238805208462765,4951.0,8.507344855361422
33,LP001187,2.0,1.0,3.0,1,2.0,2783,2708.0,158.0,360.0,1.0,2,1.0,5.062595033026967,5491.0,8.610865667278873
34,LP001190,2.0,1.0,3.0,1,2.0,2740,1541.0,101.0,360.0,1.0,2,1.0,4.61512051684126,4281.0,8.361941906144946
35,LP001203,2.0,2.0,3.0,1,2.0,3150,0.0,176.0,360.0,0.0,3,1.0,5.170483995038151,3150.0,8.055157731819678
36,LP001208,2.0,1.0,3.0,1,2.0,7350,4029.0,185.0,180.0,1.0,2,1.0,5.220355825078324,11379.0,9.339524830357009
37,LP001210,2.0,1.0,3.0,1,1.0,2267,2792.0,90.0,360.0,1.0,2,1.0,4.499809670330265,5059.0,8.528924114291936
38,LP001211,2.0,2.0,3.0,1,1.0,5833,0.0,116.0,360.0,1.0,2,1.0,4.7535901911063645,5833.0,8.671286726753637
39,LP001219,2.0,2.0,3.0,1,2.0,3643,1963.0,138.0,360.0,1.0,2,1.0,4.927253685157205,5606.0,8.631592731724734
40,LP001220,2.0,1.0,3.0,1,2.0,5629,818.0,100.0,360.0,1.0,2,1.0,4.605170185988092,6447.0,8.77137018531062
41,LP001221,1.0,2.0,3.0,1,2.0,3644,0.0,110.0,360.0,1.0,2,1.0,4.700480365792417,3644.0,8.200837258379849
42,LP001226,2.0,1.0,3.0,2,2.0,1750,2024.0,90.0,360.0,1.0,3,1.0,4.499809670330265,3774.0,8.235890725928495
43,LP001230,2.0,2.0,3.0,1,2.0,6500,2600.0,200.0,360.0,1.0,3,1.0,5.298317366548036,9100.0,9.116029692504942
44,LP001231,1.0,2.0,3.0,1,2.0,3666,0.0,84.0,360.0,1.0,2,1.0,4.430816798843313,3666.0,8.20685642839965
45,LP001232,2.0,1.0,3.0,1,2.0,4260,3900.0,185.0,360.0,1.0,2,1.0,5.220355825078324,8160.0,9.006999447958153
46,LP001237,2.0,1.0,3.0,2,2.0,4163,1475.0,162.0,360.0,1.0,2,1.0,5.087596335232384,5638.0,8.637284671674058
47,LP001242,2.0,2.0,3.0,2,2.0,2356,1902.0,108.0,360.0,1.0,3,1.0,4.68213122712422,4258.0,8.356554845453426
48,LP001268,2.0,2.0,3.0,1,2.0,6792,3338.0,187.0,360.0,1.0,2,1.0,5.231108616854587,10130.0,9.22325659724273
49,LP001270,2.0,1.0,3.0,2,1.0,8000,250.0,187.0,360.0,1.0,3,1.0,5.231108616854587,8250.0,9.017968479328726
50,LP001284,2.0,1.0,3.0,1,2.0,2419,1707.0,124.0,360.0,1.0,2,1.0,4.820281565605037,4126.0,8.325063693631197
51,LP001287,2.0,1.0,3.0,2,2.0,3500,833.0,120.0,360.0,1.0,3,1.0,4.787491742782046,4333.0,8.374015421739909
52,LP001291,2.0,1.0,3.0,1,2.0,3500,3077.0,160.0,360.0,1.0,3,1.0,5.075173815233827,6577.0,8.79133399330135
53,LP001298,2.0,1.0,3.0,1,2.0,4116,1000.0,30.0,180.0,1.0,2,1.0,3.4011973816621555,5116.0,8.540128162698734
54,LP001312,2.0,1.0,3.0,2,1.0,5293,0.0,92.0,360.0,1.0,2,1.0,4.5217885770490405,5293.0,8.574140471857987
55,LP001313,2.0,2.0,3.0,1,2.0,2750,0.0,130.0,360.0,0.0,2,1.0,4.867534450455582,2750.0,7.919356190660617
56,LP001317,1.0,2.0,3.0,2,2.0,4402,0.0,130.0,360.0,1.0,1,1.0,4.867534450455582,4402.0,8.389814262086407
57,LP001321,2.0,1.0,3.0,1,2.0,3613,3539.0,134.0,180.0,1.0,3,1.0,4.897839799950911,7152.0,8.87514731685335
58,LP001323,1.0,1.0,3.0,1,2.0,2779,3664.0,176.0,360.0,0.0,3,1.0,5.170483995038151,6443.0,8.770749549138642
59,LP001324,2.0,1.0,3.0,1,2.0,4720,0.0,90.0,180.0,1.0,3,1.0,4.499809670330265,4720.0,8.459564078579602
60,LP001332,2.0,1.0,3.0,2,2.0,2415,1721.0,110.0,360.0,1.0,3,1.0,4.700480365792417,4136.0,8.327484416188264
61,LP001335,2.0,1.0,3.0,1,1.0,7016,292.0,125.0,360.0,1.0,2,1.0,4.8283137373023015,7308.0,8.896724917497897
62,LP001338,1.0,2.0,3.0,1,2.0,4968,0.0,189.0,360.0,1.0,3,1.0,5.241747015059643,4968.0,8.510772623613315
63,LP001347,1.0,2.0,3.0,1,2.0,2101,1500.0,108.0,360.0,0.0,1,1.0,4.68213122712422,3601.0,8.188966863648876
64,LP001348,2.0,1.0,3.0,2,2.0,4490,0.0,125.0,360.0,1.0,2,1.0,4.8283137373023015,4490.0,8.4096079807363
65,LP001351,2.0,1.0,3.0,1,2.0,2917,3583.0,138.0,360.0,1.0,3,1.0,4.927253685157205,6500.0,8.779557455883728
66,LP001352,2.0,1.0,3.0,2,2.0,4700,0.0,135.0,360.0,0.0,3,1.0,4.90527477843843,4700.0,8.45531778769815
67,LP001358,2.0,1.0,3.0,1,2.0,3445,0.0,130.0,360.0,0.0,3,1.0,4.867534450455582,3445.0,8.144679183447758
68,LP001359,2.0,1.0,3.0,1,2.0,7666,0.0,187.0,360.0,1.0,3,1.0,5.231108616854587,7666.0,8.9445502459405
69,LP001361,2.0,1.0,3.0,1,2.0,2458,5105.0,188.0,360.0,0.0,1,1.0,5.236441962829949,7563.0,8.93102321585603
70,LP001366,1.0,2.0,3.0,1,2.0,3250,0.0,95.0,360.0,1.0,3,1.0,4.553876891600541,3250.0,8.086410275323782
71,LP001368,2.0,2.0,3.0,1,2.0,4463,0.0,65.0,360.0,1.0,3,1.0,4.174387269895637,4463.0,8.40357646462927
72,LP001375,2.0,1.0,3.0,1,2.0,4083,1775.0,139.0,60.0,1.0,2,1.0,4.9344739331306915,5858.0,8.675563527387679
73,LP001380,2.0,1.0,3.0,1,1.0,3900,2094.0,232.0,360.0,1.0,1,1.0,5.44673737166631,5994.0,8.69851424787661
74,LP001386,2.0,1.0,3.0,2,2.0,4750,3583.0,144.0,360.0,1.0,3,1.0,4.969813299576001,8333.0,9.027978814382207
75,LP001400,2.0,2.0,3.0,1,2.0,3583,3435.0,155.0,360.0,1.0,2,1.0,5.043425116919247,7018.0,8.85623355614316
76,LP001407,2.0,1.0,3.0,1,2.0,3189,2367.0,186.0,360.0,1.0,2,1.0,5.225746673713202,5556.0,8.622633703874234
77,LP001413,2.0,2.0,3.0,1,1.0,6356,0.0,50.0,360.0,1.0,1,1.0,3.912023005428146,6356.0,8.757154527656606
78,LP001415,2.0,1.0,3.0,1,2.0,3413,4053.0,126.0,360.0,1.0,3,1.0,4.836281906951478,7466.0,8.91811465947453
79,LP001419,1.0,1.0,3.0,1,2.0,7950,0.0,185.0,360.0,1.0,2,1.0,5.220355825078324,7950.0,8.980927207648378
80,LP001420,2.0,1.0,3.0,1,2.0,3829,1103.0,163.0,360.0,0.0,2,1.0,5.093750200806762,4932.0,8.503499864284235
81,LP001428,2.0,1.0,3.0,1,2.0,72529,0.0,360.0,360.0,1.0,2,1.0,5.886104031450156,72529.0,11.191741760864094
82,LP001445,2.0,1.0,3.0,2,2.0,4136,0.0,149.0,480.0,0.0,1,1.0,5.003946305945459,4136.0,8.327484416188264
83,LP001446,2.0,1.0,3.0,1,2.0,8449,0.0,257.0,360.0,1.0,1,1.0,5.54907608489522,8449.0,9.041803370152845
84,LP001450,2.0,1.0,3.0,1,2.0,4456,0.0,131.0,180.0,0.0,3,1.0,4.875197323201151,4456.0,8.40200678160712
85,LP001452,2.0,1.0,3.0,1,2.0,4635,8000.0,102.0,180.0,1.0,1,1.0,4.624972813284271,12635.0,9.444226019822295
86,LP001455,2.0,1.0,3.0,1,2.0,3571,1917.0,135.0,360.0,1.0,2,1.0,4.90527477843843,5488.0,8.610319169405722
87,LP001466,2.0,2.0,3.0,1,2.0,3066,0.0,95.0,360.0,1.0,3,1.0,4.553876891600541,3066.0,8.028129059431759
88,LP001471,2.0,2.0,3.0,2,2.0,3235,2015.0,77.0,360.0,1.0,3,1.0,4.343805421853684,5250.0,8.565983355585669
89,LP001472,1.0,2.0,3.0,1,2.0,5058,0.0,200.0,360.0,1.0,1,1.0,5.298317366548036,5058.0,8.52872642722991
90,LP001475,2.0,1.0,3.0,1,1.0,3188,2286.0,130.0,360.0,1.0,1,1.0,4.867534450455582,5474.0,8.607764889600624
91,LP001483,2.0,1.0,3.0,1,2.0,13518,0.0,390.0,360.0,1.0,1,1.0,5.966146739123692,13518.0,9.511777409660299
92,LP001486,2.0,1.0,3.0,1,2.0,4364,2500.0,185.0,360.0,1.0,3,1.0,5.220355825078324,6864.0,8.834045641167798
93,LP001490,2.0,1.0,3.0,2,2.0,4766,1646.0,100.0,360.0,1.0,3,1.0,4.605170185988092,6412.0,8.765926513729443
94,LP001496,2.0,1.0,3.0,1,2.0,4609,2333.0,123.0,360.0,0.0,3,1.0,4.812184355372417,6942.0,8.845345196421732
95,LP001499,1.0,1.0,3.0,1,2.0,6260,0.0,110.0,360.0,1.0,3,1.0,4.700480365792417,6260.0,8.741935464094144
96,LP001500,2.0,1.0,3.0,1,2.0,3333,4200.0,256.0,360.0,1.0,2,1.0,5.545177444479562,7533.0,8.927048647825695
97,LP001501,2.0,1.0,3.0,1,2.0,3500,3250.0,140.0,360.0,1.0,3,1.0,4.941642422609304,6750.0,8.817297783866575
98,LP001517,2.0,1.0,3.0,1,2.0,9719,0.0,61.0,360.0,1.0,2,1.0,4.110873864173311,9719.0,9.181838011503471
99,LP001527,2.0,1.0,3.0,1,2.0,6835,0.0,188.0,360.0,1.0,3,1.0,5.236441962829949,6835.0,8.82981174915805
100,LP001534,2.0,2.0,3.0,1,2.0,4452,0.0,131.0,360.0,1.0,1,1.0,4.875197323201151,4452.0,8.401108712395436
101,LP001542,1.0,1.0,3.0,1,2.0,2262,0.0,126.0,480.0,0.0,3,1.0,4.836281906951478,2262.0,7.724004656676065
102,LP001547,2.0,1.0,3.0,1,2.0,3901,0.0,116.0,360.0,1.0,2,1.0,4.7535901911063645,3901.0,8.268988209506656
103,LP001548,2.0,1.0,3.0,2,2.0,2687,0.0,50.0,180.0,1.0,1,1.0,3.912023005428146,2687.0,7.8961806086154915
104,LP001558,2.0,2.0,3.0,1,2.0,2243,2233.0,107.0,360.0,1.0,3,1.0,4.672828834461906,4476.0,8.406485069431817
105,LP001561,1.0,1.0,3.0,1,2.0,3417,1287.0,200.0,360.0,1.0,3,1.0,5.298317366548036,4704.0,8.456168489578463
106,LP001563,2.0,2.0,3.0,1,2.0,1596,1760.0,119.0,360.0,0.0,2,1.0,4.77912349311153,3356.0,8.118505067587098
107,LP001567,2.0,1.0,3.0,1,2.0,4513,0.0,120.0,360.0,1.0,1,1.0,4.787491742782046,4513.0,8.414717399827001
108,LP001568,2.0,1.0,3.0,1,2.0,4500,0.0,140.0,360.0,1.0,3,1.0,4.941642422609304,4500.0,8.411832675758411
109,LP001573,2.0,1.0,3.0,2,2.0,4523,1350.0,165.0,360.0,1.0,2,1.0,5.10594547390058,5873.0,8.67812085552252
110,LP001584,1.0,2.0,3.0,1,1.0,4742,0.0,108.0,360.0,1.0,3,1.0,4.68213122712422,4742.0,8.464214266625351
111,LP001587,2.0,1.0,3.0,1,2.0,4082,0.0,93.0,360.0,1.0,3,1.0,4.532599493153256,4082.0,8.31434234336979
112,LP001589,1.0,2.0,3.0,1,2.0,3417,0.0,102.0,360.0,1.0,2,1.0,4.624972813284271,3417.0,8.136518252115291
113,LP001591,1.0,1.0,3.0,1,2.0,2922,3396.0,122.0,360.0,1.0,3,1.0,4.804021044733257,6318.0,8.75115798136203
114,LP001599,2.0,1.0,3.0,1,2.0,4167,4754.0,160.0,360.0,1.0,1,1.0,5.075173815233827,8921.0,9.096163326913784
115,LP001601,2.0,2.0,3.0,1,2.0,4243,4123.0,157.0,360.0,1.0,3,1.0,5.056245805348308,8366.0,9.031931152002144
116,LP001607,1.0,2.0,3.0,2,2.0,0,1760.0,180.0,360.0,1.0,3,1.0,5.19295685089021,1760.0,7.473069088032197
117,LP001611,2.0,1.0,3.0,1,2.0,1516,2900.0,80.0,360.0,0.0,1,1.0,4.382026634673881,4416.0,8.392989587956931
118,LP001613,1.0,2.0,3.0,1,2.0,1762,2666.0,104.0,360.0,0.0,2,1.0,4.6443908991413725,4428.0,8.395703293828527
119,LP001622,2.0,1.0,3.0,1,2.0,724,3510.0,213.0,360.0,0.0,1,1.0,5.3612921657094255,4234.0,8.350902451694811
120,LP001627,2.0,2.0,3.0,1,2.0,3125,0.0,65.0,360.0,1.0,2,1.0,4.174387269895637,3125.0,8.047189562170502
121,LP001650,2.0,1.0,3.0,1,2.0,2333,3803.0,146.0,360.0,1.0,1,1.0,4.983606621708336,6136.0,8.721928343047091
122,LP001651,2.0,1.0,3.0,1,2.0,3350,1560.0,135.0,360.0,1.0,2,1.0,4.90527477843843,4910.0,8.499029220788566
123,LP001652,2.0,2.0,3.0,1,2.0,2500,6414.0,187.0,360.0,0.0,1,1.0,5.231108616854587,8914.0,9.0953783535065
124,LP001655,1.0,2.0,3.0,1,2.0,12500,0.0,300.0,360.0,0.0,2,1.0,5.703782474656201,12500.0,9.433483923290392
125,LP001660,2.0,2.0,3.0,1,2.0,4667,0.0,120.0,360.0,1.0,3,1.0,4.787491742782046,4667.0,8.448271745949816
126,LP001662,2.0,2.0,3.0,1,2.0,6500,0.0,71.0,360.0,0.0,2,1.0,4.2626798770413155,6500.0,8.779557455883728
127,LP001663,2.0,1.0,3.0,1,2.0,7500,0.0,225.0,360.0,1.0,2,1.0,5.41610040220442,7500.0,8.922658299524402
128,LP001667,2.0,2.0,3.0,1,2.0,3073,0.0,70.0,180.0,1.0,2,1.0,4.248495242049359,3073.0,8.030409562130485
129,LP001695,2.0,1.0,3.0,2,2.0,3321,2088.0,70.0,360.0,1.0,3,1.0,4.248495242049359,5409.0,8.595819511871428
130,LP001703,2.0,1.0,3.0,1,2.0,3333,1270.0,124.0,360.0,1.0,2,1.0,4.820281565605037,4603.0,8.434463543817241
131,LP001718,2.0,2.0,3.0,1,2.0,3391,0.0,132.0,360.0,1.0,1,1.0,4.882801922586371,3391.0,8.128880142125638
132,LP001728,2.0,1.0,3.0,1,1.0,3343,1517.0,105.0,360.0,1.0,1,1.0,4.653960350157523,4860.0,8.48879371689454
133,LP001735,1.0,2.0,3.0,1,2.0,3620,0.0,90.0,360.0,1.0,2,1.0,4.499809670330265,3620.0,8.194229304819817
134,LP001737,2.0,2.0,3.0,1,2.0,4000,0.0,83.0,84.0,1.0,2,1.0,4.418840607796598,4000.0,8.294049640102028
135,LP001739,2.0,1.0,3.0,1,2.0,4258,0.0,125.0,360.0,1.0,2,1.0,4.8283137373023015,4258.0,8.356554845453426
136,LP001742,2.0,1.0,3.0,1,2.0,4500,0.0,147.0,360.0,1.0,1,1.0,4.990432586778736,4500.0,8.411832675758411
137,LP001757,2.0,1.0,3.0,1,2.0,2014,2925.0,120.0,360.0,1.0,1,1.0,4.787491742782046,4939.0,8.504918160540624
138,LP001769,2.0,2.0,3.0,1,2.0,3333,1250.0,110.0,360.0,1.0,3,1.0,4.700480365792417,4583.0,8.430109084509125
139,LP001771,1.0,2.0,3.0,1,2.0,4083,0.0,103.0,360.0,1.0,3,1.0,4.634728988229636,4083.0,8.314587291319576
140,LP001785,2.0,2.0,3.0,1,2.0,4727,0.0,150.0,360.0,0.0,1,1.0,5.0106352940962555,4727.0,8.461046030793236
141,LP001787,2.0,1.0,3.0,1,2.0,3089,2999.0,100.0,240.0,1.0,1,1.0,4.605170185988092,6088.0,8.714074899541522
142,LP001789,2.0,1.0,3.0,2,2.0,6794,528.0,139.0,360.0,0.0,2,1.0,4.9344739331306915,7322.0,8.898638793680181
143,LP001791,2.0,1.0,3.0,1,1.0,32000,0.0,550.0,360.0,1.0,3,1.0,6.309918278226516,32000.0,10.373491181781864
144,LP001794,2.0,1.0,3.0,1,1.0,10890,0.0,260.0,12.0,1.0,1,1.0,5.560681631015528,10890.0,9.295600215927006
145,LP001797,1.0,2.0,3.0,1,2.0,12941,0.0,150.0,300.0,1.0,2,1.0,5.0106352940962555,12941.0,9.46815584482167
146,LP001815,2.0,2.0,3.0,2,2.0,3276,0.0,90.0,360.0,1.0,3,1.0,4.499809670330265,3276.0,8.09437844497296
147,LP001817,2.0,2.0,3.0,2,1.0,8703,0.0,199.0,360.0,0.0,1,1.0,5.293304824724492,8703.0,9.071423072789514
148,LP001818,2.0,1.0,3.0,1,2.0,4742,717.0,139.0,360.0,1.0,3,1.0,4.9344739331306915,5459.0,8.605020901781758
149,LP001822,2.0,2.0,3.0,1,2.0,5900,0.0,150.0,360.0,1.0,2,1.0,5.0106352940962555,5900.0,8.68270762989381
150,LP001827,2.0,2.0,3.0,1,2.0,3071,4309.0,180.0,360.0,1.0,2,1.0,5.19295685089021,7380.0,8.906528917594517
151,LP001831,2.0,1.0,3.0,1,2.0,2783,1456.0,113.0,360.0,1.0,2,1.0,4.727387818712341,4239.0,8.352082671352637
152,LP001842,2.0,2.0,3.0,1,2.0,5000,0.0,148.0,360.0,1.0,1,1.0,4.997212273764115,5000.0,8.517193191416238
153,LP001853,2.0,1.0,3.0,2,2.0,2463,2360.0,117.0,360.0,0.0,2,1.0,4.762173934797756,4823.0,8.481151420068972
154,LP001855,2.0,1.0,3.0,1,2.0,4855,0.0,72.0,360.0,1.0,1,1.0,4.276666119016055,4855.0,8.487764380725425
155,LP001857,2.0,2.0,3.0,2,1.0,1599,2474.0,125.0,300.0,1.0,3,1.0,4.8283137373023015,4073.0,8.312135107648412
156,LP001862,2.0,1.0,3.0,1,1.0,4246,4246.0,214.0,360.0,1.0,2,1.0,5.365976015021851,8492.0,9.046879822823147
157,LP001867,2.0,1.0,3.0,1,2.0,4333,2291.0,133.0,350.0,1.0,1,1.0,4.890349128221754,6624.0,8.798454696065095
158,LP001878,2.0,2.0,3.0,1,2.0,5823,2529.0,187.0,360.0,1.0,3,1.0,5.231108616854587,8352.0,9.03025631012242
159,LP001881,2.0,1.0,3.0,2,2.0,7895,0.0,143.0,360.0,1.0,1,1.0,4.962844630259907,7895.0,8.973984926689743
160,LP001886,2.0,2.0,3.0,1,2.0,4150,4256.0,209.0,360.0,1.0,1,1.0,5.342334251964811,8406.0,9.036701015565063
161,LP001906,2.0,2.0,3.0,1,2.0,2964,0.0,84.0,360.0,0.0,3,1.0,4.430816798843313,2964.0,7.994294986415977
162,LP001909,2.0,2.0,3.0,1,2.0,5583,0.0,116.0,360.0,1.0,2,1.0,4.7535901911063645,5583.0,8.62748154531036
163,LP001911,1.0,2.0,3.0,1,2.0,2708,0.0,65.0,360.0,1.0,1,1.0,4.174387269895637,2708.0,7.903965634032166
164,LP001921,2.0,2.0,3.0,1,2.0,3180,2370.0,80.0,240.0,1.0,1,1.0,4.382026634673881,5550.0,8.62155320674048
165,LP001923,2.0,2.0,3.0,2,2.0,2268,0.0,170.0,360.0,0.0,3,1.0,5.135798437050262,2268.0,7.7266536648476425
166,LP001933,2.0,2.0,3.0,2,2.0,1141,2017.0,120.0,360.0,0.0,2,1.0,4.787491742782046,3158.0,8.057694194815587
167,LP001943,2.0,1.0,3.0,1,2.0,3042,3167.0,135.0,360.0,1.0,2,1.0,4.90527477843843,6209.0,8.733755131364893
168,LP001950,1.0,1.0,3.0,1,2.0,1750,2935.0,94.0,360.0,0.0,3,1.0,4.543294782270004,4685.0,8.452121194672523
169,LP001959,1.0,1.0,3.0,1,2.0,3564,0.0,79.0,360.0,1.0,1,1.0,4.3694478524670215,3564.0,8.1786387885907
170,LP001961,1.0,2.0,3.0,1,2.0,3958,0.0,110.0,360.0,1.0,1,1.0,4.700480365792417,3958.0,8.28349412616251
171,LP001973,2.0,1.0,3.0,2,2.0,4483,0.0,130.0,360.0,1.0,1,1.0,4.867534450455582,4483.0,8.40804774415544
172,LP001975,2.0,1.0,3.0,1,2.0,5225,0.0,143.0,360.0,1.0,1,1.0,4.962844630259907,5225.0,8.561210076833012
173,LP001979,2.0,2.0,3.0,1,2.0,3017,2845.0,159.0,180.0,0.0,2,1.0,5.0689042022202315,5862.0,8.676246121270838
174,LP001995,2.0,1.0,3.0,2,2.0,2431,1820.0,110.0,360.0,0.0,1,1.0,4.700480365792417,4251.0,8.35490952835879
175,LP001999,2.0,1.0,3.0,1,2.0,4912,4614.0,160.0,360.0,1.0,1,1.0,5.075173815233827,9526.0,9.161780181360806
176,LP002007,2.0,1.0,3.0,2,2.0,2500,3333.0,131.0,360.0,1.0,2,1.0,4.875197323201151,5833.0,8.671286726753637
177,LP002009,1.0,2.0,3.0,1,2.0,2918,0.0,65.0,360.0,1.0,1,1.0,4.174387269895637,2918.0,7.978653729082731
178,LP002016,2.0,1.0,3.0,1,2.0,5128,0.0,143.0,360.0,1.0,1,1.0,4.962844630259907,5128.0,8.542470998600505
179,LP002017,2.0,1.0,3.0,1,2.0,15312,0.0,187.0,360.0,1.0,2,1.0,5.231108616854587,15312.0,9.636392113692736
180,LP002018,2.0,1.0,3.0,1,2.0,3958,2632.0,160.0,360.0,1.0,3,1.0,5.075173815233827,6590.0,8.793308627496552
181,LP002027,2.0,1.0,3.0,1,2.0,4334,2945.0,165.0,360.0,1.0,3,1.0,5.10594547390058,7279.0,8.892748769118258
182,LP002028,2.0,1.0,3.0,1,2.0,4358,0.0,110.0,360.0,1.0,2,1.0,4.700480365792417,4358.0,8.379768515504566
183,LP002042,1.0,1.0,3.0,1,2.0,4000,3917.0,173.0,360.0,1.0,1,1.0,5.153291594497779,7917.0,8.976767625171433
184,LP002045,2.0,1.0,3.0,1,2.0,10166,750.0,150.0,360.0,1.0,2,1.0,5.0106352940962555,10916.0,9.29798488182823
185,LP002046,2.0,1.0,3.0,2,2.0,4483,0.0,135.0,360.0,1.0,3,1.0,4.90527477843843,4483.0,8.40804774415544
186,LP002047,2.0,1.0,3.0,2,2.0,4521,1184.0,150.0,360.0,1.0,3,1.0,5.0106352940962555,5705.0,8.649098262296176
187,LP002056,2.0,1.0,3.0,1,2.0,9167,0.0,235.0,360.0,1.0,3,1.0,5.459585514144159,9167.0,9.123365357961776
188,LP002057,2.0,1.0,3.0,2,2.0,13083,0.0,126.0,360.0,1.0,1,1.0,4.836281906951478,13083.0,9.479068956510876
189,LP002059,2.0,1.0,3.0,1,2.0,7874,3967.0,336.0,360.0,1.0,1,1.0,5.817111159963204,11841.0,9.379323364330956
190,LP002062,1.0,1.0,3.0,1,2.0,4333,0.0,132.0,84.0,1.0,1,1.0,4.882801922586371,4333.0,8.374015421739909
191,LP002064,2.0,2.0,3.0,1,2.0,4083,0.0,96.0,360.0,1.0,2,1.0,4.564348191467836,4083.0,8.314587291319576
